item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score
1,cn,span,noun,s___,持续时间段,智能手机使人的注意力集中时间越来越短。,-2.741182607
2,cn,radically,adverb,r________,彻底地，激进地，根本地,我们应当彻底改变只顾经济发展的思路，以保护日渐脆弱的环境。,-1.337120226
3,cn,supermarket,noun,s__________,超市,许多人选择去超市采购水果蔬菜。,2.212272322
4,cn,airplane,noun,a_______,飞机,一架飞机在比利牛斯山坠毁。,0.813175169
5,cn,trying,adjective,t_____,难熬的，考验人耐心的,等待实验结果的过程往往很难熬。,-4.992503668
6,cn,racing,noun,r_____,赛马，赛车，赛艇,我喜欢车，但我不喜欢赛车运动。,-0.322540318
7,cn,sleep,verb,s____,睡觉,我每晚10点睡觉。,3.331054089
8,cn,military,noun,m_______,军队，军方，武装部队,据称军方已经做好战争准备。,0.095214066
9,cn,capacity,noun,c_______,容量，容纳限度,电梯的容纳限度是十人。,-0.807598507
10,cn,cane,noun,c___,(竹或甘蔗的) 茎,这类糖是从甘蔗中提取的。,-1.361237522
11,cn,knock,verb,k____,敲，敲击，叩击,有人敲门。,2.647021912
12,cn,hallway,noun,h______,（美）走廊，过道,我在走廊上撞见了经理。,-1.012531669
13,cn,displayed,adjective,d________,被展示的；（数据或图像等）被显示的,1)我们盯着屏幕上显示的图像。2)这些被展示的物品来自英国。,0.090277485
14,cn,challenging,adjective,c__________,有挑战性的,我厌烦了机械重复的工作，希望换一份更有挑战性的工作。,0.174584565
15,cn,missionary,noun,m_________,传教士,一些传教士为近代中国的教育发展做出了贡献。,-1.60165159
16,cn,tall,adjective,t___,高的,她的男友很高，在人群里很显眼。,3.223981903
17,cn,fade,verb,f___,（颜色）褪色，（声音或光线）减弱,窗边的照片渐渐褪色了。,0.66393483
18,cn,street,noun,s_____,街，街道,她听到街上的叫喊声。,2.013674108
19,cn,wrist,noun,w____,手腕，腕部,她的腕上有一只小巧的金表。,-0.52469371
20,cn,present,adjective,p______,现在的,现在的房主几年前就买下了这栋房子。,1.485755402
21,cn,softball,noun,s_______,垒球，垒球运动,他们喜欢打垒球。,-2.27696682
22,cn,sit,verb,s__,坐，坐下,“请坐下”，他说。,2.811010039
23,cn,stance,noun,s_____,立场，态度,她坚定地陈述了继续接收移民的立场。,-2.544654134
24,cn,religious,adjective,r________,宗教的,请尊重我的宗教信仰。,-0.69784801
25,cn,shock,verb,s____,（使）震惊,所有人都被她突然的消瘦震惊了。,1.479236033
26,cn,attend,verb,a_____,参加，参与，出席,我参加了昨天的会议。,1.216241401
27,cn,panel,noun,p____,专家小组，评委小组,面试的专家小组由8位教授组成。,-1.162582531
28,cn,slice,noun,s____,（一）片，（平的）薄片,他端上一片面包和一个煎蛋。,0.316846142
29,cn,sperm,noun,s____,精子,医生说他的精子活力较差。,-0.724083017
30,cn,vietnamese,adjective,v_________,越南的，越南人的，越南语的,美军与北越南军队交战。,-1.691300464
31,cn,murdering,adjective,m________,谋杀的，杀人的,是什么诱发了他杀人的举动？,-2.322540238
32,cn,smile,noun,s____,微笑,她的微笑让我放下心来。,2.344811046
33,cn,blinding,adjective,b_______,炫目的，刺眼的，耀眼的,爆炸发出巨大声响和刺目的亮光。,-3.010376821
34,cn,remarkable,adjective,r_________,出色的，引人注目的,她有出色的记忆力。,-0.894849368
35,cn,chart,noun,c____,图表,下面的饼状图表直观展示了各洲贫困人口的分布。,0.852738892
36,cn,jumper,noun,j_____,毛衣，套头毛衣,她穿了一件白色的套头毛衣。,-2.677989764
37,cn,remind,verb,r_____,提醒，使想起,他提醒了我明天要开会。,1.842217255
38,cn,nonsense,noun,n_______,废话，胡说,别信她那些胡说八道。,-0.088332707
39,cn,stunning,adjective,s_______,绝色的，绝美的,1)你穿这件晚礼服美呆了。2)山顶看到的日出景色美极了。,-2.899932992
40,cn,tea,noun,t__,茶,“你要咖啡还是茶？”“茶，谢谢。”,3.370929857
41,cn,housekeeping,noun,h___________,当家，家政，勤杂事务,女主人很会当家，为家庭省下不少开支。,-1.776284494
42,cn,mayor,noun,m____,市长，镇长,市长为他颁发了证书。,0.040623734
43,cn,countryside,noun,c__________,乡下，乡村,他们周末驾车去乡下探望家人。,1.52073452
44,cn,lighter,noun,l______,打火机,您能借我打火机一用吗？,0.267375565
45,cn,drama,noun,d____,戏剧艺术，戏剧，剧本,他是一名戏剧专业的学生。,1.367212021
46,cn,push,verb,p___,推,他推了几下，但门没有开。,2.322637044
47,cn,unglamorous,adjective,u__________,没有魅力的,科学研究的工作清贫、枯燥、毫无魅力：你还愿意走这条路吗？,-3.508860173
48,cn,subtle,adjective,s_____,隐约的，细微的，微妙的,我察觉他表情有些细微的变化。,-2.03504668
49,cn,stem,noun,s___,（植物的）茎，（树）干,月季茎上有刺。,-0.484068772
50,cn,claim,verb,c____,声称,他声称是这位演员的前夫。,0.769820505
51,cn,inviting,adjective,i_______,吸引人的，诱人的,这盘烤肉看着十分诱人。,-2.390237921
52,cn,aboard,preposition,a_____,在（火车，飞机，船）上,登机/上船的时间到了。,-0.17570247
53,cn,carefully,adverb,c________,小心地，细心地,这个问题会考到，请大家仔细听。,2.094986428
54,cn,separate,verb,s_______,分开，隔开，脱离，分离,1)请先把肉和骨头分开。2)公路把校园分隔成两个部分。,-1.453696811
55,cn,hangover,noun,h_______,（酒后或吸毒后的）宿醉,我因为宿醉而头疼。,-1.117549773
56,cn,delegate,noun,d_______,（与会）代表，代表团,会议中各国代表纷纷发言。,-0.763920937
57,cn,lock,noun,l___,锁,旅行箱配有一把锁。,2.585285622
58,cn,every,misc,e____,每一个，每,每个孩子都值得爱。,2.235294555
59,cn,terrorist,adjective,t________,恐怖主义的,巴黎一餐厅发生恐怖主义袭击。,-2.337616433
60,cn,wonder,verb,w_____,想知道，想问,1)我想知道他为什么要骗你。2)我寻思会不会有危险。,1.426394749
61,cn,hypersensitive,adjective,h_____________,（尤指对批评）高度敏感的，玻璃心的,她对批评非常敏感，根本说不得。,-2.258780005
62,cn,drop,verb,d___,（使）滴下，（使）下落、掉下,1)屋檐滴着水。2)我的手机从桌子上掉下来。,1.190712569
63,cn,note,verb,n___,注意，留意,我没有注意两者之间的不同。,0.836625916
64,cn,sky,noun,s__,天，天空,天是蓝的。,3.121744786
65,cn,sigh,noun,s___,叹气，叹息,“我不喜欢这份工作“，她带着叹息说。,-0.189400751
66,cn,scared,adjective,s_____,害怕的，惊恐的,1)我很害怕蛇。2)她怕孩子不会回来了。,0.466926978
67,cn,globally,adverb,g_______,全球地，在世界范围内,我们可以在世界范围内与对手竞争。,-0.090605494
68,cn,select,adjective,s_____,精选的，精挑细选的，优等的,只有一些最优秀的学生能进入顶级大学的研究生院。,-1.056507505
69,cn,roman,adjective,r____,罗马的，古罗马时期的,她欣赏着这些古罗马雕塑。,0.591317806
70,cn,racial,adjective,r_____,种族的,我们反对种族歧视。,-0.853386201
71,cn,vibrator,noun,v_______,震动按摩器，震动棒,这款震动按摩器拯救了他的婚姻。,-1.837493349
72,cn,clever,adjective,c_____,聪明的,老师夸他很聪明。,1.791839041
73,cn,outlook,noun,o______,（世界、人生）观，前景,1)他有一个积极的人生观。2)学校发展的前景很好。,-2.174895392
74,cn,study,verb,s____,学习,我喜欢学习数学。,2.522221818
75,cn,continuing,adjective,c_________,持续的，正在继续的(不以ous结尾),印度的人口还在保持持续的增长。,-2.722243971
76,cn,contract,verb,c_______,（使）收缩，（使）缩小,1)市场的低迷让我们不得不紧缩开支。2)他的胃部因疼痛缩成一团。,-1.521178087
77,cn,suggestive,adjective,s_________,有挑逗意味的，有性暗示的,她发的许多照片都具有挑逗意味。,-3.656650216
78,cn,kitchen,noun,k______,厨房,父亲在厨房做饭。,1.953089185
79,cn,historical,adjective,h_________,历史的，历史性的,历史证据表明这里曾是一片水域。,1.042641119
80,cn,reverse,verb,r______,逆转，反转，颠倒,1)政府希望扭转市场的颓势。2)现在你结婚了我却离婚了——我们的情况颠倒过来了。,0.230607813
81,cn,manufacture,verb,m__________,生产，批量生产,这家公司生产玩具。,-0.211620828
82,cn,unfashionable,adjective,u____________,不时髦的，不时尚的,你看起来一点也不时尚——该好好打扮一下了！,0.009915511
83,cn,curtain,noun,c______,窗帘,请把窗帘拉上。,0.572002735
84,cn,converter,noun,c________,变流器，变频器，转化插头，转换器,两国电压不同，需要一个转换器。,-2.638625977
85,cn,sticky,adjective,s_____,有黏性的，黏的,面团仍然很粘手。,-0.064630238
86,cn,concentrated,adjective,c___________,浓缩的,这瓶浓缩果汁需要兑水。,-1.953157377
87,cn,cone,noun,c___,圆锥体，（盛冰淇淋的）圆锥卷筒,你会求圆锥的体积吗？,-1.614726064
88,cn,straight,adverb,s_______,径直,直走到红绿灯处右拐。,2.136740383
89,cn,broadcasting,noun,b___________,广播电视业,他离开广告业后又进军广播电视行业。,-0.716806564
90,cn,travel,verb,t_____,旅行，旅游,你去国外旅游过吗？,1.617666726
91,cn,exhibition,noun,e_________,展览会，展览,我们去看了梵高的作品展。,0.483454018
92,cn,injection,noun,i________,注射，打针,她患糖尿病后，每天需要胰岛素注射。,-0.265947788
93,cn,daddy,noun,d____,（口语）老爸，爹地,“老爸，能帮我把书拿过来吗？”,2.177205335
94,cn,adult,noun,a____,成人，成年,成人的票价是1.5镑，儿童减半。,1.983766095
95,cn,turbulence,noun,t_________,动荡，动乱,政治动荡很快导致经济萧条。,-2.532108027
96,cn,authenticity,noun,a___________,真实性，确实性，正宗,这封信的真实程度（是否伪造）值得怀疑。,-1.407464305
97,cn,ten,number,t__,十，十个,班上有十个学生。,3.656261979
98,cn,barrier,noun,b______,障碍，屏障,要达到目标，你面前只有最后一道障碍了。,0.22947094
99,cn,comment,noun,c______,评论,政府禁止对这一事件的评论。,0.124668615
100,cn,english,adjective,e______,英语的，英国的,我正在练习英语发音。,2.875184752
101,cn,elite,noun,e____,精英，精英阶层，上层人士,她自认属于社会精英。,0.255645845
102,cn,snap,verb,s___,啪地一声断裂,扁担不堪重负啪地一声断了。,-2.361274953
103,cn,life,noun,l___,生命，一生,她度过了幸福的一生。,3.671984058
104,cn,sure,adjective,s___,肯定的，确定的,“你确定今天不会下雨？”“我确定。”,2.824906669
105,cn,promise,verb,p______,承诺，许诺,他承诺会在月底还钱。,1.276480807
106,cn,fight,verb,f____,与…搏斗，打仗，战斗,我们要与无处不在的性别歧视相斗争。,2.680275885
