item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score
1,de,span,noun,s___,Zeitraum,Über einen Zeitraum von fünf Monaten wurden Zeugenaussagen gesammelt und Beweise sichergestellt.,-2.76940803
2,de,radically,adverb,r________,"fundamental, völlig",Nach unserem Gespräch hat sich seine Einstellung fundamental geändert.,-1.567125557
3,de,supermarket,noun,s__________,Supermarkt,Die Frau geht in dem Supermarkt einkaufen. ,1.578899839
4,de,airplane,noun,a_______,Flugzeug (nicht: aircraft),Der Pilot flog das Flugzeug.,0.127510273
5,de,trying,adjective,t_____,"schwierig, anstrengend","Seine Kinder sind ziemlich anstrengend. (NICHT taxing, NICHT tiring)",-3.642623474
6,de,racing,noun,r_____,Rennsport,Als aktiver Fahrer konnte er schon viel Erfahrung im Rennsport sammeln.,0.197889082
7,de,sleep,verb,s____,schlafen,"Ich schlafe schon seit Jahren hervorragend dank der Matratze, die wir damals gekauft haben.",2.704855899
8,de,military,noun,m_______,Militär,Er ist ein wichtiger Offizier beim Militär.,0.544554828
9,de,capacity,noun,c_______,"Fassungsvermögen, Rauminhalt, Volumen",Dieser Tank hat ein Fassungsvermögen von dreißig Litern.,-2.044385253
10,de,cane,noun,c___,Rohr-,Ich verwende hauptsächlich Rohrzucker.,-1.344922248
11,de,knock,verb,k____,"gegen etw stoßen, sich anstoßen",Rosa hat sich ihr Knie an der Tür angestoßen.,-0.47525357
12,de,hallway,noun,h______,"Korridor, Flur, Gang","Die Schüler müssen den langen Flur entlang laufen, um ins Chemielabor zu gelangen. ",-0.446275153
13,de,displayed,adjective,d________,"ausgelegt, ausgehängt",Die Nachfrage nach den ausgelegten Uhren war groß.,-1.755048423
14,de,challenging,adjective,c__________,"herausfordernd, fordernd",Die herausfordernde Aufgabe konnte gut bewältigt werden.,-0.388801358
15,de,missionary,noun,m_________,Missionar,Sie arbeitete als Missionarin für viele Jahre in Afrika.,-0.859479017
16,de,tall,adjective,t___,groß,Er war ein großer und dünner Mann.,1.25600929
17,de,fade,verb,f___,"ausbleichen, verblassen",Die Operationsnarbe verblasst.,-0.185057379
18,de,street,noun,s_____,Straße,In dieser Straße wurde Beethoven geboren.,3.406414525
19,de,wrist,noun,w____,Handgelenk,Ich habe mir das Handgelenk verstaucht.,0.359557952
20,de,present,adjective,p______,derzeitig,In seinem derzeitigen Zustand sollte er sich nicht zu sehr aufregen.,-0.077003042
21,de,softball,noun,s_______,Softball,Softball ist sehr ähnlich wie Baseball und bei vielen Amerikanern sehr beliebt.,2.154828071
22,de,sit,verb,s__,sitzen,"Den Kindern war so langweilig, dass sie kaum mehr sitzen wollten.",2.631080844
23,de,stance,noun,s_____,Einstellung [nicht: stand],Was ist seine Einstellung gegenüber dem Grundeinkommen?,-2.650761357
24,de,religious,adjective,r________,gläubig,Die ganze Familie ist sehr gläubig und geht regelmäßig in die Kirche.,1.150954842
25,de,shock,verb,s____,entsetzen [nicht: scare],"Heutzutage ist es als Künstler gar nicht mehr so leicht, das Publikum zu entsetzen.",-1.355967472
26,de,attend,verb,a_____,"etw besuchen, auf etw sein",Ich besuche die Konferenz im Mai.,-0.187940097
