lang,feature,mean_abs_shap,mean_shap,n_items
cn,lang_8_cn_log_frequency,0.50711054,0.03631743,748
cn,evp_level,0.27907062,0.016067766,748
cn,spelling_diff_with_l1_word--gpt-5.2_cn_spelling_diff_with_l1_word,0.25179523,-0.0039039387,748
cn,word_length,0.24734476,-0.020598527,748
cn,lang_8_any_log_frequency,0.16792051,-0.002760374,748
cn,lexical_ambiguity--gpt-5.2_cn_lexical_ambiguity,0.16569301,0.019405684,748
cn,morphtran--gpt-5.2_cn_calque,0.15261027,-0.0006833189,748
cn,lexical_ambiguity--deepseek-v3.2_cn_lexical_ambiguity,0.14463325,-0.0039194208,748
cn,tubelex_log_frequency,0.08020263,0.052931443,748
cn,bnc_spoken_log_frequency,0.07795251,0.003074907,748
cn,tubelex_log_range,0.06748933,-0.022397406,748
cn,spelling_diff_with_l1_word--gpt-5.2_es_spelling_diff_with_l1_word,0.06735734,0.009390334,748
cn,lang_8_es_log_frequency,0.020038268,-0.019544575,748
cn,spelling_diff_with_l1_word--gpt-5.2_de_spelling_diff_with_l1_word,0.016109278,-7.4930875e-05,748
cn,cn_similarity,0.0,0.0,748
de,de_similarity,0.36666977,-0.040587153,748
de,evp_level,0.3287254,0.028375154,748
de,spelling_diff_with_l1_word--gpt-5.2_de_spelling_diff_with_l1_word,0.32071927,-0.005202235,748
de,lexical_ambiguity--gpt-5.2_de_lexical_ambiguity,0.275445,0.060297,748
de,lang_8_any_log_frequency,0.26204178,0.034631006,748
de,word_length,0.24475329,-0.020937473,748
de,lang_8_es_log_frequency,0.16648394,0.024811087,748
de,morphtran--gpt-5.2_de_calque,0.12094816,0.00034585124,748
de,lexical_ambiguity--deepseek-v3.2_de_lexical_ambiguity,0.08004019,0.008198103,748
de,tubelex_log_frequency,0.07270452,0.019756962,748
de,spelling_diff_with_l1_word--gpt-5.2_cn_spelling_diff_with_l1_word,0.06347751,-0.002061436,748
de,lang_8_cn_log_frequency,0.04391967,-0.028765894,748
de,tubelex_log_range,0.043188415,-0.011481215,748
de,spelling_diff_with_l1_word--gpt-5.2_es_spelling_diff_with_l1_word,0.040728055,0.008669224,748
de,bnc_spoken_log_frequency,0.025617842,0.00073530106,748
es,spelling_diff_with_l1_word--gpt-5.2_es_spelling_diff_with_l1_word,0.41749078,-0.021959586,748
es,evp_level,0.3456883,0.03582293,748
es,es_similarity,0.2973154,-0.052523334,748
es,word_length,0.29369137,-0.013498846,748
es,lexical_ambiguity--gpt-5.2_es_lexical_ambiguity,0.26958364,0.051845107,748
es,lang_8_any_log_frequency,0.24189217,0.012499253,748
es,lang_8_es_log_frequency,0.21492164,0.0050416514,748
es,morphtran--gpt-5.2_es_calque,0.1428152,0.0069249235,748
es,lexical_ambiguity--deepseek-v3.2_es_lexical_ambiguity,0.11115154,-0.0006955007,748
es,tubelex_log_range,0.087581076,-0.013885508,748
es,tubelex_log_frequency,0.08452856,0.02284182,748
es,spelling_diff_with_l1_word--gpt-5.2_de_spelling_diff_with_l1_word,0.047282677,-0.002768569,748
es,bnc_spoken_log_frequency,0.035427414,-9.15564e-05,748
es,spelling_diff_with_l1_word--gpt-5.2_cn_spelling_diff_with_l1_word,0.034669783,0.006900312,748
es,lang_8_cn_log_frequency,0.022020774,-0.0036610726,748
