item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score
1,es,span,noun,s___,lapso,El eclipse solar fue visible durante un breve lapso de tiempo.,-3.264098675
2,es,radically,adverb,r________,fundamentalmente,Los métodos nuevos son fundamentalmente diferentes a los antiguos.,-1.871782482
3,es,supermarket,noun,s__________,supermercado,Vamos al supermercado y compramos todo lo que necesitamos durante un mes.,2.733108688
4,es,airplane,noun,a_______,avión,El avión despegó tres horas tarde.,0.054736761
5,es,trying,adjective,t_____,difícil,"Es un tiempo muy difícil, sin ninguna duda.",-4.086776336
6,es,racing,noun,r_____,carreras,¿Te puedes creer que se ha comprado un coche de carreras?,-0.071781525
7,es,sleep,verb,s____,dormir,Es importante dormir bien si estás enfermo.,3.682799998
8,es,military,noun,m_______,ejército,El ejército no parecía nada contento con los cambios políticos que se habían producido.,-0.086130207
9,es,capacity,noun,c_______,cabida,La sala da cabida a dos mil personas.,-1.726755593
10,es,cane,noun,c___,bastón,Siempre veras a mi abuelo caminando con su bastón,-0.837535429
11,es,knock,verb,k____,tocar,De repente oímos a alguien tocaba en la ventana.,1.310178301
12,es,hallway,noun,h______,salón,Pablo te está esperando en el pequeño salón de casa.,-2.641865975
13,es,displayed,adjective,d________,expuesto,El vestido de novia expuesto en el escaparate era justo el que quería.,-0.756194133
14,es,challenging,adjective,c__________,desafiante,La maratón es algo desafiante y sé que lograré acabarla a tiempo,0.049204583
15,es,missionary,noun,m_________,predicador,Hace tiempo las iglesias enviaban un predicador para convertir a la población a su religión.,-2.800754376
16,es,tall,adjective,t___,alto,Mi hermano es mucho más alto que yo.,2.933357109
17,es,fade,verb,f___,desteñirse,"Cuidado con esos colores fuertes, tienden a desteñirse al lavarlos.",-1.008161484
18,es,street,noun,s_____,calle,Siga por esta calle y después coja la primera a la izquierda.,3.10124216
19,es,wrist,noun,w____,muñeca,Ella se puso la pulsera en la muñeca izquierda.,0.46347056
20,es,present,adjective,p______,actual,La propuesta actual es mejor que la anterior.,0.303316021
21,es,softball,noun,s_______,softball,Jugaba softball en la universidad y era bastante buena,1.343505823
22,es,sit,verb,s__,sentarse,El anfitrión convidó a sus invitados a sentarse a la mesa.,2.764279959
23,es,stance,noun,s_____,postura,El presidente tiene una postura clara sobre el tema.,-2.69899709
24,es,religious,adjective,r________,religioso,"Lleva una vida religiosa, va a misa todos los días y reza mucho.",1.493624216
25,es,shock,verb,s____,conmocionar,La artista intentará conmocionar al público con su estilo provocativo.,-1.183915521
26,es,attend,verb,a_____,asistir,¿Vas a asistir a la boda de Isabel?,-0.837047643
27,es,panel,noun,p____,tablero,Los tableros solares que se pusieron en el techo deben ser revisados mensualmente,0.181859464
28,es,slice,noun,s____,rebanada,"¿Quieres una rabanada de pan, o dos?",0.169952677
29,es,sperm,noun,s____,espermatozoide,Para procrear es necesario un óvulo y un espermatozoide,1.002699483
30,es,vietnamese,adjective,v_________,de Vietnam,Ví una película de Vietnam el otro día y me encantó.,-0.780290806
31,es,murdering,adjective,m________,asesino,El instinito asesino de los terroristas es espantoso.,-2.058731555
32,es,smile,noun,s____,sonrisa,La sonrisa del niño refleja su temperamento alegre.,2.264398255
33,es,blinding,adjective,b_______,cegadora,De repente se encendió una luz cegadora y no veíamos nada.,-0.501947669
34,es,remarkable,adjective,r_________,destacable,Mi hijo tiene un talento destacable para las matemáticas.,-0.982438637
35,es,chart,noun,c____,gráfico,Este gráfico muestra las temperaturas de todo el año en la zona.,-0.169835057
36,es,jumper,noun,j_____,jersey,Me voy a comprar un jersey rojo de lana.,-1.951160685
37,es,remind,verb,r_____,recordar,Tuve que recordar a la profesora que teníamos ensayo después de clase.,-0.294589386
38,es,nonsense,noun,n_______,tonterías,Esos rumores son tonterías y no me creo nada.,-0.21216982
39,es,stunning,adjective,s_______,impresionante,La vista desde las montañas es absolutamente impresionante.,-1.422985739
40,es,tea,noun,t__,té,Me gusta tomarme un par de tazas de té por la mañana.,2.448579948
41,es,housekeeping,noun,h___________,gestión del hogar,Mis problemas fueron excaerbados por mi mala gestión del hogar.,-2.33323631
42,es,mayor,noun,m____,alcalde,El alcalde de Linares es primo de mi padre.,-0.036468134
43,es,countryside,noun,c__________,campo,Vivimos en el campo desde hace veinte años.,1.009297748
44,es,lighter,noun,l______,encendedor,¿Tienes un encendedor? Quiero fumar y no tengo fuego.,1.208429874
45,es,drama,noun,d____,teatro,"Estudió teatro en la mejor escuela de ate dramático de la ciudad, ahora es un famoso actor a nivel mundial",0.775809908
46,es,push,verb,p___,empujar,¿Me ayudas a empujar el coche? La batería se ha agotado.,2.293065389
47,es,unglamorous,adjective,u__________,sin glamour,La actriz uso un vestigo sin glamour para la ceremonia y fue duramente criticada.,-1.395004616
48,es,subtle,adjective,s_____,delicado,Bebí un vino con un delicado carácter a roble.,-2.385531556
49,es,stem,noun,s___,tallo,Esta flor tiene un tallo corto.,-1.197849876
50,es,claim,verb,c____,afirmar,No voy a afirmar que es la mejor ciudad del mundo pero es muy bonita.,-1.871635119
51,es,inviting,adjective,i_______,atractiva,Fue una sugerencia muy atractiva para mí.,-3.277554881
52,es,aboard,preposition,a_____,abordo del barco,¿Tu padre está abordo del barco ya? Entonces zarpamos.,0.864127274
53,es,carefully,adverb,c________,cuidadosamente,Abrió la caja muy cuidadosamente y vio que contenía un jarrón muy delicado.,1.918608165
54,es,separate,verb,s_______,dividir,La profesora suele dividir a los alumnos en dos equipos.,-0.215249745
55,es,hangover,noun,h_______,resaca,Tiene una resaca horrible después de beber demasiado vino en la cena de ayer.,-0.182415434
56,es,delegate,noun,d_______,representante,El representante enviado por la compañía fue de gran ayuda.,-2.034213673
57,es,lock,noun,l___,cerradura,La llave maestra nos abrirá la cerradura.,1.044429061
58,es,every,misc,e____,cada,Los niños descubren algo nuevo cada día.,0.983870783
59,es,terrorist,adjective,t________,terrorista,La acción de violencia política ha cesado gracias al acuerdo.,-1.369881971
60,es,wonder,verb,w_____,maravillarse,No tuvieron más más remedio que maravillarse de la belleza de las estrellas.,1.523509649
61,es,hypersensitive,adjective,h_____________,hipersensible,Es hipersensible a algunos medicamentos por eso debe ser cuidadoso con su salud,-1.153702462
62,es,drop,verb,d___,dejar caer,Ten cuidado de no dejar caer la copa al suelo.,0.461097397
63,es,note,verb,n___,señalar,Señalar la importancia de trabajar bien en equipo es cosa de buenos jefes.,-0.381883882
64,es,sky,noun,s__,cielo,El cielo está muy despejado hoy.,2.741506428
65,es,sigh,noun,s___,suspiro,Soltó un suspiro y se levantó del sillón.,-0.386929922
66,es,scared,adjective,s_____,asustado,El niño estaba asustado tras escuchar los cuentos de fantasmas.,1.001782057
67,es,globally,adverb,g_______,a nivel mundial,Es una cantante muy conocida a nivel mundial.,0.393861492
68,es,select,adjective,s_____,exclusivo,Un grupo exclusivo de estudiantes recibirá una beca.,-0.670592659
69,es,roman,adjective,r____,romano,El emperador romano entregó a Barrabás a cambio de Jesús,2.857756826
70,es,racial,adjective,r_____,étnica,Han jurado acabar con la discriminación étnica de una vez por todas.,-1.003753842
71,es,vibrator,noun,v_______,vibrador,Decidieron comprar un vibrador para intentar mejorar su placer sexual.,1.736286015
72,es,clever,adjective,c_____,listo,Tu perro es muy listo.  Parece entender todo lo que le dices.,1.198323849
73,es,outlook,noun,o______,perspectiva,Mi hermano tiene una perspectiva muy positiva de la vida,-2.96343379
74,es,study,verb,s____,educarse,Mi padre siempre quiso educarse en una universidad de España.,0.470926673
75,es,continuing,adjective,c_________,persistente,Siguieron con las negociaciones a pesar del conflicto persistente.,-3.737334371
76,es,contract,verb,c_______,encoger,El acero suele encoger cuando se enfría.,-1.94467681
77,es,suggestive,adjective,s_________,insinuante,Siempre se viste de una forma un poco insinuante.,-2.308538313
78,es,kitchen,noun,k______,cocina,El piso tiene una cocina muy moderna.,3.401814678
79,es,historical,adjective,h_________,histórico,Los registros históricos que se encuentran en este museo datan de la época de la conquista,1.055442546
80,es,reverse,verb,r______,invertir,El gobierno ha intentado invertir el declive económico.,-1.46747467
81,es,manufacture,verb,m__________,fabricar,Vamos a fabricar piezas de bicicletas para una empresa grande.,0.818966439
82,es,unfashionable,adjective,u____________,anticuada,Es una opinion anticuada pero que la tiene mucha gente.,-2.692319702
83,es,curtain,noun,c______,cortina,He puesto una cortina muy bonita en la ventana de la entrada.  ¿Te gusta?,0.588386368
84,es,converter,noun,c________,transformador,Espero que haya un transformador en la habitación porque aquí no nos valen los teléfonos.,-2.156203703
85,es,sticky,adjective,s_____,pegajoso,Tengo el pelo pegajoso de sudor.,-0.556496099
86,es,concentrated,adjective,c___________,concentrado,El jugo concentrado de naranja es buena fuente de vitamina C.,1.366207304
87,es,cone,noun,c___,cono,¿Quieres un cono de helado de chocolate?,1.684056851
88,es,straight,adverb,s_______,directamente,Volví directamente a casa tras el trabajo.,0.073823529
89,es,broadcasting,noun,b___________,difusión,La difusión por radio siempre me ha encantado.,-0.17709205
90,es,travel,verb,t_____,viajar,Me gusta mucho viajar a otros países.,3.694585547
91,es,exhibition,noun,e_________,exposición,Ayer vimos una exposición muy bonita en el Museo del Prado.,-1.487966135
92,es,injection,noun,i________,vacunación,Hay que ponerle una vacunación para que no contraiga la gripe.,-1.632178506
93,es,daddy,noun,d____,papi,¡Hola papi!  ¿Qué tal?,2.980439241
94,es,adult,noun,a____,adulto,Esta película debe ser vista en compañía de un adulto responsable,3.341015245
95,es,turbulence,noun,t_________,agitación,Este fue un período de agitación política en el país.,-2.835345968
96,es,authenticity,noun,a___________,veracidad,La declaración del sospechoso no tenía veracidad.,-2.244934019
97,es,ten,number,t__,diez,Mi hijo tiene diez años.,3.871074256
98,es,barrier,noun,b______,valla,Detrás de la valla del campo de fútbol hay un jardín.,-3.545685872
99,es,comment,noun,c______,observación,Mi profesora me hizo una breve observación sobre mi trabajo que me ayudó mucho.,-0.78002606
100,es,english,adjective,e______,inglés,Kitty es inglesa pero vive en Escocia.,2.743766849
101,es,elite,noun,e____,élite,Es un miembro de la élite intelectual del país.,3.059914693
102,es,snap,verb,s___,partirse,La regla va a partirse si la sigues doblando así.,-3.245344184
103,es,life,noun,l___,vida,Tengo una vida muy tranquila aquí en el campo.,2.504632028
104,es,sure,adjective,s___,seguro,"Confío en mis hijos, estoy seguro de que ellos dicen la verdad.",1.699386047
105,es,promise,verb,p______,comprometerse,Estoy dispuesta a prestarle dinero pero tiene que comprometerse a devolverlo.,0.048682143
106,es,fight,verb,f____,luchar,Está acostumbrado a luchar por lo que quiere.,1.929429671
107,es,doubt,noun,d____,duda,No tengo ninguna duda al respecto.,1.612115764
108,es,vivid,adjective,v____,vivo,"Al atardecer, el cielo se tiñó de un naranja vivo.",-0.603431947
109,es,spectacular,adjective,s__________,impresionante,El futbolista metió un gol absolutamente impresionante.,-2.073331976
110,es,overlook,verb,o_______,pasar por alto,Debemos tener cuidado de no pasar por alto ningún detalle.,-2.148353952
111,es,graduate,verb,g_______,licenciarse,Va a licenciarse en historia el año que viene y después se especializará en arqueología.,1.4788916
112,es,strain,verb,s_____,forzar,Tuve que forzar la vista para leer el letrero.,-3.097456188
113,es,associated,adjective,a_________,relacionada,Su desaparición está relacionada con el crimen.,-2.006323063
114,es,weave,verb,w____,tejer,Mi abuelo me va a tejer una manta de lana.,-1.828123166
115,es,collection,noun,c_________,grupo de cosas,"Tiene monedas, sellos, llaveros, postales y no sé qué otro grupo de cosas en su habitación.",-1.739399746
116,es,shotgun,noun,s______,escopeta,Cogió su escopeta y se fue a cazar.,-1.339016063
117,es,assess,verb,a_____,valorar,Hay que valorar la autenticidad del cuadro.,-2.004265456
118,es,subjectively,adverb,s___________,de modo subjetivo,Has evaluado el trabajo de este alumno de modoo subjetivo,-0.509377477
119,es,necessity,noun,n________,necesidad,Todos los seres humanos tenemos la necesidad de tener copañía,0.29142477
120,es,consist,verb,c______,radicar,La fuerza verdadera nunca ha de radicar sólo en la fuerza física.,-2.343137787
121,es,return,noun,r_____,vuelta,Estamos todos muy contentos por la noticia de tu vuelta a casa.,1.320022866
122,es,store,verb,s____,almacenar,Este disco puede almacenar muchos datos.,-0.307210163
123,es,cowboy,noun,c_____,vaquero,El vaquero había viajado por todo el valle en busca del ganado perdido.,1.868910651
124,es,stock,noun,s____,existencias,Es imposible predecir cuándo nos quedaremos sin existencias.,-0.996063687
125,es,hate,noun,h___,odio,Hay demasiado odio en el mundo.,2.550661348
126,es,boil,verb,b___,hervir,Primero hay que hervir el agua y después echar la pasta.,1.361973665
127,es,chill,noun,c____,frío,De repente sentí frío así que me metí dentro de casa.,-2.133232288
128,es,inactivity,noun,i_________,pasividad,La pasividad del gobierno es deplorable.,-1.586853669
129,es,converted,adjective,c________,transformada,Es increíble ver aquella niña pequeñita transformada en una mujer tan importante.,-0.861669251
130,es,materialize,verb,m__________,materializar,Mónica pudo materializar sus sueños cuando se fe a vivir sola,-0.793132189
131,es,youngster,noun,y________,muchacho,Estos pantalones son para un muchacho de unos catorce años.,-0.639011114
132,es,submit,verb,s_____,presentar,Hay que presentar la solicitud antes de final de mes.,-1.906608567
133,es,crying,noun,c_____,llanto,Todas las noches oíamos el llanto de un niño a la misma hora.,1.101407426
134,es,warmly,adverb,w_____,cálidamente,"Estaban cálidamente vestidos con bufanda, guantes y gorra.",0.145397103
135,es,per,preposition,p__,cada,La tarifa de este hotel son cien euros cada noche.,2.141500537
136,es,quantum,noun,q______,quántum,En 1900 el físico Max Plank presentó su teoría del quántum a la Sociedad Alemana de Física.,1.619279334
137,es,stack,noun,s____,pila,Hay una gran pila de libros en mi escritorio.,-2.206661408
138,es,archive,noun,a______,fichero,Los informes están en el fichero oficial.,-0.022812886
139,es,irritate,verb,i_______,enojar,Deja de enojar a tu hermana con esos comentarios tan tontos.,-1.803893155
140,es,catastrophe,noun,c__________,desastre,Este último desastre natural es uno de muchos que ha ocurrido este año.,-1.154707515
141,es,click,verb,c____,cliquear,Para entrar a la página debes cliquear en el botón de inicio,3.116033143
142,es,not,not-no,n__,negativo,"Negativo voy a clase hoy, me encuentro mal.",-0.799698093
143,es,probably,adverb,p_______,posiblemente (no: possibly),"Posiblemente veré a mi amiga mañana, pero no estoy segura.",-0.442453734
144,es,judge,verb,j____,juzgar,Intento entender a las personas antes de juzgarlas.,2.015780094
145,es,chronologically,adverb,c______________,cronológicamente,Los periódicos deben ser organizados cronológicamente,-0.88347064
146,es,static,adjective,s_____,inmóvil,Los resultados nos proporciona un panorama inmóvil de la situación económica.,-2.365412773
147,es,contract,noun,c_______,convenio,Hoy firme el convenio con la empresa en la que voy a trabajar,-0.725374525
148,es,feminism,noun,f_______,feminismo,Se dice que el objetivo del feminismo es la igualdad con los hombres pero va mucho mas allá que eso.,1.918857388
149,es,webpage,noun,w______,página web,Nos han diseñado una nueva página web y es muy atractiva.,-1.331425675
150,es,receive,verb,r______,cobrar,Fernando va a cobrar una buena cantidad de dinero por la venta de la casa.,-0.727072472
151,es,tiny,adjective,t___,diminuto,Un ser humano se ve diminuto en comparación con un elefante.,1.405461749
152,es,policy,noun,p_____,plan de acción,El plan de acción actual del gobierno para la educación no me convence.,-3.64182339
153,es,secondly,adverb,s_______,en segundo lugar,"En primer lugar, no quiero ir y en segundo lugar, ¡no me han invitado!",1.102100599
154,es,mystic,noun,m_____,místico,El mítico me recmendó tener cuidado con la personas que me rodean,-0.740653607
155,es,promise,noun,p______,compromiso,El gobierno falló en su compromiso a no incrementar los impuestos.,0.029489703
156,es,mortality,noun,m________,muerte,En el fondo somos todos conscientes de nuestra propia muerte.,-1.516257756
157,es,nylon,noun,n____,nailon,Encontré un delgado hilo de nailon en uno de los bolsillos de la víctima,0.986218503
